Kanji,Rank,Occurrences,Frequency,Cumulative Frequency,cumulative_frequency
料,385,535533,0.0006240509591334,0.707268904339383,0.7072689043393646
退,386,534460,0.0006228006035453,0.7078917049429284,0.7078917049429099
件,387,532891,0.0006209722643862,0.7085126772073147,0.708512677207296
管,388,528999,0.000616436957817,0.7091291141651317,0.709129114165113
色,389,528391,0.0006157284618267,0.7097448426269585,0.7097448426269397
林,390,528178,0.0006154802551722,0.7103603228821308,0.7103603228821119
器,391,526036,0.0006129842051539,0.7109733070872848,0.7109733070872658
施,392,525490,0.00061234795711,0.7115856550443949,0.7115856550443758
庫,393,525437,0.0006122861967688,0.7121979412411636,0.7121979412411445
条,394,523336,0.0006098379236182,0.7128077791647819,0.7128077791647628
親,395,522721,0.0006091212706017,0.7134169004353836,0.7134169004353645
春,396,521359,0.0006075341463604,0.7140244345817441,0.7140244345817249
修,397,520163,0.000606140460169,0.7146305750419132,0.714630575041894
考,398,519680,0.000605577625361,0.7152361526672742,0.7152361526672549
状,399,517775,0.0006033577489441,0.7158395104162184,0.715839510416199
予,400,517036,0.0006024966000349,0.7164420070162534,0.7164420070162338
